Name,Party,State
ABELARDO CAMARINHA,PSB,SP
ABELARDO LUPION,DEM,PR
ACELINO POPÓ,PRB,BA
ADEMIR CAMILO,PROS,MG
ADRIAN,PMDB,RJ
AELTON FREITAS,PR,MG
AFONSO FLORENCE,PT,BA
AFONSO HAMM,PP,RS
AFONSO MOTTA,PDT,RS
AGUINALDO RIBEIRO,PP,PB
AKIRA OTSUBO,PMDB,MS
ALBERTO FILHO,PMDB,MA
ALBERTO MOURÃO,PSDB,SP
ALCEU MOREIRA,PMDB,RS
ALDO REBELO,PCdoB,SP
ALESSANDRO MOLON,PT,RJ
ALEX CANZIANI,PTB,PR
ALEXANDRE CARDOSO,PSB,RJ
ALEXANDRE LEITE,DEM,SP
ALEXANDRE ROSO,PSB,RS
ALEXANDRE SANTOS,PMDB,RJ
ALEXANDRE SILVEIRA,PSD,MG
ALEXANDRE TOLEDO,PSB,AL
ALFREDO KAEFER,PSDB,PR
ALFREDO SIRKIS,PSB,RJ
ALICE PORTUGAL,PCdoB,BA
ALINE CORRÊA,PP,SP
ALMEIDA LIMA,PMDB,SE
AMAURI TEIXEIRA,PT,BA
AMIR LANDO,PMDB,RO
ANA ARRAES,PSB,PE
ANDERSON FERREIRA,PR,PE
ANDRÉ DE PAULA,PSD,PE
ANDRÉ DIAS,PSDB,PA
ANDRÉ FIGUEIREDO,PDT,CE
ANDRE MOURA,PSC,SE
ANDRE VARGAS,S.PARTIDO,PR
ANDRÉ ZACHAROW,PMDB,PR
ANDREIA ZITO,PSDB,RJ
ÂNGELO AGNOLIN,PDT,TO
ANGELO VANHONI,PT,PR
ANÍBAL GOMES,PMDB,CE
ANSELMO DE JESUS,PT,RO
ANTHONY GAROTINHO,PR,RJ
ANTÔNIA LÚCIA,PSC,AC
ANTÔNIO ANDRADE,PMDB,MG
ANTONIO BALHMANN,PROS,CE
ANTONIO BRITO,PTB,BA
ANTONIO BULHÕES,PRB,SP
ANTONIO CARLOS MAGALHÃES NETO,DEM,BA
ANTONIO CARLOS MENDES THAME,PSDB,SP
ANTONIO IMBASSAHY,PSDB,BA
ANTÔNIO ROBERTO,PV,MG
ARACELY DE PAULA,PR,MG
ARIOSTO HOLANDA,PROS,CE
ARLINDO CHINAGLIA,PT,SP
ARMANDO ABÍLIO,PTB,PB
ARMANDO VERGÍLIO,SD,GO
ARNALDO FARIA DE SÁ,PTB,SP
ARNALDO JARDIM,PPS,SP
ARNALDO JORDY,PPS,PA
ARNON BEZERRA,PTB,CE
AROLDE DE OLIVEIRA,PSD,RJ
ARTHUR LIRA,PP,AL
ARTHUR OLIVEIRA MAIA,SD,BA
ARTUR BRUNO,PT,CE
ASDRUBAL BENTES,PMDB,PA
ASSIS CARVALHO,PT,PI
ASSIS DO COUTO,PT,PR
ASSIS MELO,PCdoB,RS
ÁTILA LINS,PSD,AM
ÁTILA LIRA,PSB,PI
AUDIFAX,PSB,ES
AUGUSTO CARVALHO,SD,DF
AUGUSTO COUTINHO,SD,PE
AUREO,SD,RJ
BEBETO GALVÃO,PSB,BA
BENEDITA DA SILVA,PT,RJ
BENJAMIN MARANHÃO,SD,PB
BERINHO BANTIM,SD,RR
BERNARDO SANTANA DE VASCONCELLOS,PR,MG
BETINHO ROSADO,PP,RN
BETO ALBUQUERQUE,PSB,RS
BETO FARO,PT,PA
BETO MANSUR,PRB,SP
BIFFI,PT,MS
BILAC PINTO,PR,MG
BOHN GASS,PT,RS
BONIFÁCIO DE ANDRADA,PSDB,MG
BRIZOLA NETO,PDT,RJ
BRUNA FURLAN,PSDB,SP
BRUNO ARAÚJO,PSDB,PE
BRUNO RODRIGUES,PSDB,PE
CABO JULIANO RABELO,PSB,MT
CAMILO COLA,PMDB,ES
CÂNDIDO VACCAREZZA,PT,SP
CARLAILE PEDROSA,PSDB,MG
CARLINHOS ALMEIDA,PT,SP
CARLOS ALBERTO LERÉIA,PSDB,GO
CARLOS BEZERRA,PMDB,MT
CARLOS BRANDÃO,PSDB,MA
CARLOS EDUARDO CADOCA,PCdoB,PE
CARLOS MAGNO,PP,RO
CARLOS MANATO,SD,ES
CARLOS MARTINS,PT,PA
CARLOS MELLES,DEM,MG
CARLOS ROBERTO,PSDB,SP
CARLOS SAMPAIO,PSDB,SP
CARLOS SOUZA,PSD,AM
CARLOS ZARATTINI,PT,SP
CARMEN ZANOTTO,PPS,SC
CELIA ROCHA,PTB,AL
CELSO JACOB,PMDB,RJ
CELSO MALDANER,PMDB,SC
CESAR COLNAGO,PSDB,ES
CÉSAR HALUM,PRB,TO
CEZAR SILVESTRI,PPS,PR
CHICO ALENCAR,PSOL,RJ
CHICO D'ANGELO,PT,RJ
CHICO DAS VERDURAS,PRP,RR
CHICO LOPES,PCdoB,CE
CIDA BORGHETTI,PROS,PR
CLAUDIO CAJADO,DEM,BA
CLÁUDIO PUTY,PT,PA
CLEBER VERDE,PRB,MA
COLBERT MARTINS,PMDB,BA
COSTA FERREIRA,PSC,MA
CRISTIANO,PTdoB,RJ
DALVA FIGUEIREDO,PT,AP
DAMIÃO FELICIANO,PDT,PB
DANIEL ALMEIDA,PCdoB,BA
DANILO CABRAL,PSB,PE
DANILO FORTE,PMDB,CE
DANRLEI DE DEUS HINTERHOLZ,PSD,RS
DARCÍSIO PERONDI,PMDB,RS
DAVI ALCOLUMBRE,DEM,AP
DAVI ALVES SILVA JÚNIOR,PR,MA
DÉCIO LIMA,PT,SC
DELEGADO PROTÓGENES,PCdoB,SP
DELEGADO WALDIR,PSDB,GO
DELEY,PTB,RJ
DENILSON TEIXEIRA,PV,MG
DEVANIR RIBEIRO,PT,SP
DIEGO ANDRADE,PSD,MG
DILCEU SPERAFICO,PP,PR
DIMAS FABIANO,PP,MG
DIMAS RAMALHO,PPS,SP
DOMINGOS DUTRA,SD,MA
DOMINGOS NETO,PROS,CE
DOMINGOS SÁVIO,PSDB,MG
DR. ADILSON SOARES,PR,RJ
DR. ALUIZIO,PV,RJ
DR. CARLOS ALBERTO,PMN,RJ
DR. DILSON DRUMOND,PDT,RJ
DR. GRILO,SD,MG
DR. JORGE SILVA,PROS,ES
DR. LUIZ FERNANDO,PSD,AM
DR. PAULO CÉSAR,PR,RJ
DR. ROSINHA,PT,PR
Dr. SINVAL MALHEIROS,PV,SP
DR. UBIALI,PSB,SP
DRA. ELAINE ABISSAMRA,PSB,SP
DUARTE NOGUEIRA,PSDB,SP
DUDIMAR PAXIUBA,PROS,PA
DUDU LUIZ EDUARDO,PSDC,RJ
EDINHO ARAÚJO,PMDB,SP
EDINHO BEZ,PMDB,SC
EDIO LOPES,PMDB,RR
EDIVALDO HOLANDA JUNIOR,PTC,MA
EDMAR ARRUDA,PSC,PR
EDMAR MOREIRA,PTB,MG
EDSON APARECIDO,PSDB,SP
EDSON EZEQUIEL,PMDB,RJ
EDSON PIMENTA,PSD,BA
EDSON SANTOS,PT,RJ
EDSON SILVA,PROS,CE
EDUARDO AZEREDO,PSDB,MG
EDUARDO BARBOSA,PSDB,MG
EDUARDO CUNHA,PMDB,RJ
EDUARDO DA FONTE,PP,PE
EDUARDO GOMES,SD,TO
EDUARDO SCIARRA,PSD,PR
EFRAIM FILHO,DEM,PB
ELCIONE BARBALHO,PMDB,PA
ELEUSES PAIVA,PSD,SP
ELI CORREA FILHO,DEM,SP
ELIANE ROLIM,PT,RJ
ELIENE LIMA,PSD,MT
ELISEU PADILHA,PMDB,RS
EMANUEL FERNANDES,PSDB,SP
EMILIANO JOSÉ,PT,BA
ENIO BACCI,PDT,RS
ERIKA KOKAY,PT,DF
ERIVELTON SANTANA,PSC,BA
ERON BEZERRA,PCdoB,AM
EROS BIONDINI,PTB,MG
ESPERIDIÃO AMIN,PP,SC
EUDES XAVIER,PT,CE
EURICO JÚNIOR,PV,RJ
EVANDRO MILHOMEN,PCdoB,AP
FÁBIO FARIA,PSD,RN
FÁBIO RAMALHO,PV,MG
FABIO REIS,PMDB,SE
FÁBIO SOUTO,DEM,BA
FÁBIO TRAD,PMDB,MS
FÁTIMA BEZERRA,PT,RN
FÁTIMA PELAES,PMDB,AP
FELIPE BORNIER,PSD,RJ
FELIPE MAIA,DEM,RN
FÉLIX MENDONÇA JÚNIOR,PDT,BA
FERNANDO COELHO FILHO,PSB,PE
FERNANDO FERRO,PT,PE
FERNANDO FRANCISCHINI,SD,PR
FERNANDO JORDÃO,PMDB,RJ
FERNANDO LOPES,PMDB,RJ
FERNANDO MARRONI,PT,RS
FERNANDO TORRES,PSD,BA
FERNANDO ZACHIA,PMDB,RS
FILIPE PEREIRA,PSC,RJ
FLÁVIA MORAIS,PDT,GO
FLAVIANO MELO,PMDB,AC
FRANCISCO ARAÚJO,PSD,RR
FRANCISCO CHAGAS,PT,SP
FRANCISCO DE ASSIS,PT,SC
FRANCISCO ESCÓRCIO,PMDB,MA
FRANCISCO FLORIANO,PR,RJ
FRANCISCO PRACIANO,PT,AM
FRANCISCO TENÓRIO,PMN,AL
GABRIEL CHALITA,PMDB,SP
GABRIEL GUIMARÃES,PT,MG
GASTÃO VIEIRA,PMDB,MA
GEAN LOUREIRO,PMDB,SC
GENECIAS NORONHA,SD,CE
GEORGE HILTON,PRB,MG
GERA ARRUDA,PMDB,CE
GERALDO RESENDE,PMDB,MS
GERALDO SIMÕES,PT,BA
GERALDO THADEU,PSD,MG
GIACOBO,PR,PR
GILBERTO COUTINHO,PT,AL
GILMAR MACHADO,PT,MG
GIOVANI CHERINI,PDT,RS
GIOVANNI QUEIROZ,PDT,PA
GIROTO,PR,MS
GIVALDO CARIMBÃO,PROS,AL
GLADSON CAMELI,PP,AC
GLAUBER BRAGA,PSB,RJ
GOIACIARA CRUZ,PR,TO
GONZAGA PATRIOTA,PSB,PE
GORETE PEREIRA,PR,CE
GUILHERME CAMPOS,PSD,SP
GUILHERME MUSSI,PP,SP
GUSTAVO PETTA,PCdoB,SP
HELCIO SILVA,PT,SP
HELENO SILVA,PRB,SE
HÉLIO SANTOS,PSDB,MA
HENRIQUE AFONSO,PV,AC
HENRIQUE EDUARDO ALVES,PMDB,RN
HENRIQUE FONTANA,PT,RS
HENRIQUE OLIVEIRA,SD,AM
HERMES PARCIANELLO,PMDB,PR
HEULER CRUVINEL,PSD,GO
HOMERO PEREIRA,PSD,MT
HUGO LEAL,PROS,RJ
HUGO MOTTA,PMDB,PB
HUGO NAPOLEÃO,PSD,PI
HUMBERTO MICHILES,PR,AM
HUMBERTO SOUTO,PPS,MG
IARA BERNARDI,PT,SP
ILÁRIO MARQUES,PT,CE
INOCÊNCIO OLIVEIRA,PR,PE
IRACEMA PORTELLA,PP,PI
IRAJÁ ABREU,PSD,TO
IRINY LOPES,PT,ES
ÍRIS DE ARAÚJO,PMDB,GO
ISAÍAS SILVESTRE,PSB,MG
IVAN VALENTE,PSOL,SP
IZALCI,PSDB,DF
JAIME MARTINS,PSD,MG
JAIR BOLSONARO,PP,RJ
JAIRO ATAÍDE,DEM,MG
JANDIRA FEGHALI,PCdoB,RJ
JANETE CAPIBERIBE,PSB,AP
JANETE ROCHA PIETÁ,PT,SP
JÂNIO NATAL,PRP,BA
JAQUELINE RORIZ,PMN,DF
JEAN WYLLYS,PSOL,RJ
JEFFERSON CAMPOS,PSD,SP
JERÔNIMO GOERGEN,PP,RS
JESUS RODRIGUES,PT,PI
JHONATAN DE JESUS,PRB,RR
JILMAR TATTO,PT,SP
JÔ MORAES,PCdoB,MG
JOÃO ANANIAS,PCdoB,CE
JOÃO ARRUDA,PMDB,PR
JOÃO BITTAR,DEM,MG
JOÃO CALDAS,SD,AL
JOÃO CAMPOS,PSDB,GO
JOÃO CARLOS BACELAR,PR,BA
JOÃO DADO,SD,SP
JOÃO LEÃO,PP,BA
JOÃO LYRA,PSD,AL
JOÃO MAGALHÃES,PMDB,MG
JOÃO MAIA,PR,RN
JOÃO PAULO CUNHA,PT,SP
JOÃO PAULO LIMA,PT,PE
JOÃO PIZZOLATTI,PP,SC
JOÃO RODRIGUES,PSD,SC
JOAQUIM BELTRÃO,PMDB,AL
JONAS DONIZETTE,PSB,SP
JORGE BITTAR,PT,RJ
JORGE BOEIRA,PP,SC
JORGE CÔRTE REAL,PTB,PE
JORGE PINHEIRO,PRB,GO
JORGE TADEU MUDALEN,DEM,SP
JORGINHO MELLO,PR,SC
JOSÉ AIRTON,PT,CE
JOSÉ ANÍBAL,PSDB,SP
JOSÉ AUGUSTO MAIA,PROS,PE
JOSÉ CARLOS ARAÚJO,PSD,BA
JOSÉ CARLOS VIEIRA,PSD,SC
JOSÉ CHAVES,PTB,PE
JOSÉ DE FILIPPI,PT,SP
JOSÉ GENOÍNO,PT,SP
JOSÉ GUIMARÃES,PT,CE
JOSÉ HUMBERTO,PSD,MG
JOSÉ LINHARES,PP,CE
JOSÉ MENTOR,PT,SP
JOSÉ NUNES,PSD,BA
JOSÉ OTÁVIO GERMANO,PP,RS
JOSÉ PRIANTE,PMDB,PA
JOSÉ ROCHA,PR,BA
JOSE STÉDILE,PSB,RS
JOSEPH BANDEIRA,PSB,BA
JOSIAS GOMES,PT,BA
JOSUÉ BENGTSON,PTB,PA
JOVAIR ARANTES,PTB,GO
JÚLIO CAMPOS,DEM,MT
JÚLIO CESAR,PSD,PI
JÚLIO DELGADO,PSB,MG
JULIO LOPES,PP,RJ
JULIO SEMEGHINI,PSDB,SP
JÚNIOR COIMBRA,PMDB,TO
JUNJI ABE,PSD,SP
JUTAHY JUNIOR,PSDB,BA
KEIKO OTA,PSB,SP
LAEL VARELLA,DEM,MG
LAERCIO OLIVEIRA,SD,SE
LAUREZ MOREIRA,PSB,TO
LAURIETE,PSC,ES
LÁZARO BOTELHO,PP,TO
LEANDRO VILELA,PMDB,GO
LELO COIMBRA,PMDB,ES
LÉO OLIVEIRA,PMDB,SP
LEOMAR QUINTANILHA,PMDB,TO
LEONARDO GADELHA,PSC,PB
LEONARDO MONTEIRO,PT,MG
LEONARDO PICCIANI,PMDB,RJ
LEONARDO QUINTÃO,PMDB,MG
LEONARDO VILELA,PSDB,GO
LEOPOLDO MEYER,PSB,PR
LILIAM SÁ,PROS,RJ
LINCOLN PORTELA,PR,MG
LINDOMAR GARÇON,PV,RO
LIRA MAIA,DEM,PA
LOURIVAL MENDES,PTdoB,MA
LUCI CHOINACKI,PT,SC
LUCIANA SANTOS,PCdoB,PE
LUCIANO CASTRO,PR,RR
LUCIANO MOREIRA,PMDB,MA
LUCIANO PIZZATTO,DEM,PR
LÚCIO VALE,PR,PA
LUCIO VIEIRA LIMA,PMDB,BA
LUIS CARLOS HEINZE,PP,RS
LUIS TIBÉ,PTdoB,MG
LUIZ ALBERTO,PT,BA
LUIZ ARGÔLO,SD,BA
LUIZ CARLOS,PSDB,AP
LUIZ CARLOS BUSATO,PTB,RS
LUIZ CARLOS HAULY,PSDB,PR
LUIZ CARLOS SETIM,DEM,PR
LUIZ COUTO,PT,PB
LUIZ DE DEUS,DEM,BA
LUIZ FERNANDO FARIA,PP,MG
LUIZ FERNANDO MACHADO,PSDB,SP
LUIZ NISHIMORI,PR,PR
LUIZ NOÉ,PSB,RS
LUIZ OTAVIO,PMDB,PA
LUIZ PITIMAN,PSDB,DF
LUIZ SÉRGIO,PT,RJ
LUIZA ERUNDINA,PSB,SP
MAGDA MOFATTO,PR,GO
MAGELA,PT,DF
MAJOR FÁBIO,PROS,PB
MANDETTA,DEM,MS
MANOEL ANTUNES,PDT,SP
MANOEL JUNIOR,PMDB,PB
MANOEL SALVIANO,PSD,CE
MANUEL ROSA NECA,PR,RJ
MANUELA D'ÁVILA,PCdoB,RS
MARA GABRILLI,PSDB,SP
MARÇAL FILHO,PMDB,MS
MARCELINHO CARIOCA,PSB,SP
MARCELO AGUIAR,DEM,SP
MARCELO ALMEIDA,PMDB,PR
MARCELO CASTRO,PMDB,PI
MARCELO GUIMARÃES FILHO,PMDB,BA
MARCELO MATOS,PDT,RJ
MARCIO BITTAR,PSDB,AC
MÁRCIO FRANÇA,PSB,SP
MARCIO JUNQUEIRA,PROS,RR
MÁRCIO MACÊDO,PT,SE
MÁRCIO MARINHO,PRB,BA
MARCIO REINALDO MOREIRA,PP,MG
MARCO MAIA,PT,RS
MARCO TEBALDI,PSDB,SC
MARCON,PT,RS
MARCOS LIMA,PMDB,MG
MARCOS MEDRADO,SD,BA
MARCOS MONTES,PSD,MG
MARCOS ROGÉRIO,PDT,RO
MARCUS PESTANA,PSDB,MG
MARCUS VICENTE,PP,ES
MARGARIDA SALOMÃO,PT,MG
MARIA DO ROSÁRIO,PT,RS
MARIA LUCIA PRANDI,PT,SP
MARINA SANTANNA,PT,GO
MARINHA RAUPP,PMDB,RO
MÁRIO DE OLIVEIRA,PSC,MG
MARIO FEITOZA,PMDB,CE
MÁRIO HERINGER,PDT,MG
MÁRIO NEGROMONTE,PP,BA
MARLLOS SAMPAIO,PMDB,PI
MASSAMI MIKI,PSL,AM
MAURÍCIO ALMEIDA,PSB,MA
MAURÍCIO DZIEDRICKI,PTB,RS
MAURÍCIO QUINTELLA LESSA,PR,AL
MAURÍCIO RANDS,PT,PE
MAURÍCIO TRINDADE,PROS,BA
MAURO BENEVIDES,PMDB,CE
MAURO LOPES,PMDB,MG
MAURO MARIANI,PMDB,SC
MAURO NAZIF,PSB,RO
MAX FILHO,PTB,ES
MENDES RIBEIRO FILHO,PMDB,RS
MENDONÇA FILHO,DEM,PE
MENDONÇA PRADO,DEM,SE
MIGUEL CORRÊA,PT,MG
MILTON MONTI,PR,SP
MIRIQUINHO BATISTA,PT,PA
MIRO TEIXEIRA,PROS,RJ
MISSIONÁRIO JOSÉ OLIMPIO,PP,SP
MOACIR MICHELETTO,PMDB,PR
MOREIRA MENDES,PSD,RO
NARCIO RODRIGUES,PSDB,MG
NATAN DONADON,S.PARTIDO,RO
NAZARENO FONTELES,PT,PI
NEILTON MULIM,PR,RJ
NELSON BORNIER,PMDB,RJ
NELSON MARCHEZAN JUNIOR,PSDB,RS
NELSON MARQUEZELLI,PTB,SP
NELSON MEURER,PP,PR
NELSON PADOVANI,PSC,PR
NELSON PELLEGRINO,PT,BA
NERI GELLER,PP,MT
NEWTON CARDOSO,PMDB,MG
NEWTON LIMA,PT,SP
NICE LOBÃO,PSD,MA
NILDA GONDIM,PMDB,PB
NILMAR RUIZ,PEN,TO
NILMÁRIO MIRANDA,PT,MG
NILSON LEITÃO,PSDB,MT
NILSON PINTO,PSDB,PA
NILTON CAPIXABA,PTB,RO
ODAIR CUNHA,PT,MG
ODÍLIO BALBINOTTI,PMDB,PR
OLIVEIRA FILHO,PRB,PR
ONOFRE SANTO AGOSTINI,PSD,SC
ONYX LORENZONI,DEM,RS
OSMAR JÚNIOR,PCdoB,PI
OSMAR SERRAGLIO,PMDB,PR
OSMAR TERRA,PMDB,RS
OSVALDO COELHO,DEM,PE
OSVALDO REIS,PMDB,TO
OTAVIO LEITE,PSDB,RJ
OTONIEL LIMA,PRB,SP
OZIEL OLIVEIRA,PDT,BA
PADRE JOÃO,PT,MG
PADRE TON,PT,RO
PAES LANDIM,PTB,PI
PASTOR EURICO,PSB,PE
PASTOR MARCO FELICIANO,PSC,SP
PAUDERNEY AVELINO,DEM,AM
PAULÃO,PT,AL
PAULO AB,ACKEL,PSDB,MG
PAULO BORNHAUSEN,PSB,SC
PAULO CESAR QUARTIERO,DEM,RR
PAULO FEIJÓ,PR,RJ
PAULO FERREIRA,PT,RS
PAULO FOLETTO,PSB,ES
PAULO FREIRE,PR,SP
PAULO HENRIQUE LUSTOSA,PP,CE
PAULO MAGALHÃES,PSD,BA
PAULO MALUF,PP,SP
PAULO MARINHO JUNIOR,PMDB,MA
PAULO PEREIRA DA SILVA,SD,SP
PAULO PIAU,PMDB,MG
PAULO PIMENTA,PT,RS
PAULO RUBEM SANTIAGO,PDT,PE
PAULO TADEU,PT,DF
PAULO TEIXEIRA,PT,SP
PAULO WAGNER,PV,RN
PEDRO CHAVES,PMDB,GO
PEDRO EUGÊNIO,PT,PE
PEDRO FERNANDES,PTB,MA
PEDRO GUERRA,PSD,PR
PEDRO HENRY,PP,MT
PEDRO NOVAIS,PMDB,MA
PEDRO PAULO,PMDB,RJ
PEDRO UCZAI,PT,SC
PENNA,PV,SP
PEPE VARGAS,PT,RS
PERPÉTUA ALMEIDA,PCdoB,AC
PINTO DE LUNA,PT,AL
PINTO ITAMARATY,PSDB,MA
PLÍNIO VALÉRIO,PSDB,AM
POLICARPO,PT,DF
PROFESSOR SÉRGIO DE OLIVEIRA,PSC,PR
PROFESSOR SETIMO,PMDB,MA
PROFESSOR VICTÓRIO GALLI,PMDB,MT
PROFESSORA DORINHA SEABRA REZENDE,DEM,TO
PROFESSORA MARCIVANIA,PT,AP
RAIMUNDÃO,PMDB,CE
RAIMUNDO GOMES DE MATOS,PSDB,CE
RATINHO JUNIOR,PSC,PR
RAUL HENRY,PMDB,PE
RAUL LIMA,PP,RR
REBECCA GARCIA,PP,AM
REGINALDO LOPES,PT,MG
REGUFFE,PDT,DF
REINALDO AZAMBUJA,PSDB,MS
REINHOLD STEPHANES,PSD,PR
RENAN FILHO,PMDB,AL
RENATO ANDRADE,PP,MG
RENATO MOLLING,PP,RS
RENATO SIMÕES,PT,SP
RENZO BRAZ,PP,MG
RIBAMAR ALVES,PSB,MA
RICARDO ARCHER,PMDB,MA
RICARDO ARRUDA,PSC,PR
RICARDO BERZOINI,PT,SP
RICARDO IZAR,PSD,SP
RICARDO QUIRINO,PRB,DF
RICARDO TRIPOLI,PSDB,SP
ROBERTO BALESTRA,PP,GO
ROBERTO BRITTO,PP,BA
ROBERTO DE LUCENA,PV,SP
ROBERTO DORNER,PSD,MT
ROBERTO FREIRE,PPS,SP
ROBERTO SANTIAGO,PSD,SP
ROBERTO TEIXEIRA,PP,PE
RODRIGO BETHLEM,PMDB,RJ
RODRIGO DE CASTRO,PSDB,MG
RODRIGO GARCIA,DEM,SP
RODRIGO MAIA,DEM,RJ
ROGÉRIO CARVALHO,PT,SE
ROGÉRIO MARINHO,PSDB,RN
ROGÉRIO PENINHA MENDONÇA,PMDB,SC
ROMANNA REMOR,PMDB,SC
ROMÁRIO,PSB,RJ
ROMERO RODRIGUES,PSDB,PB
RONALDO BENEDET,PMDB,SC
RONALDO CAIADO,DEM,GO
RONALDO FONSECA,PROS,DF
RONALDO NOGUEIRA,PTB,RS
RONALDO ZULKE,PT,RS
ROSANE FERREIRA,PV,PR
ROSE DE FREITAS,PMDB,ES
ROSINHA DA ADEFAL,PTdoB,AL
ROSY DE SOUSA,PV,RN
RUBENS BUENO,PPS,PR
RUBENS OTONI,PT,GO
RUI COSTA,PT,BA
RUI PALMEIRA,PSDB,AL
RUY CARNEIRO,PSDB,PB
SABINO CASTELO BRANCO,PTB,AM
SÁGUAS MORAES,PT,MT
SALVADOR ZIMBALDI,PROS,SP
SANDES JÚNIOR,PP,GO
SANDRA ROSADO,PSB,RN
SANDRO ALEX,PPS,PR
SANDRO MABEL,PMDB,GO
SARAIVA FELIPE,PMDB,MG
SARNEY FILHO,PV,MA
SEBASTIÃO BALA ROCHA,SD,AP
SÉRGIO BARRADAS CARNEIRO,PT,BA
SÉRGIO BRITO,PSD,BA
SERGIO GUERRA,PSDB,PE
SÉRGIO MORAES,PTB,RS
SERGIO ZVEITER,PSD,RJ
SEVERINO NINHO,PSB,PE
SIBÁ MACHADO,PT,AC
SILAS BRASILEIRO,PMDB,MG
SILAS CÂMARA,PSD,AM
SILVIO COSTA,PSC,PE
SILVIO TORRES,PSDB,SP
SIMÃO SESSIM,PP,RJ
SIMPLÍCIO ARAÚJO,SD,MA
SOLANGE ALMEIDA,PMDB,RJ
STEFANO AGUIAR,PSB,MG
STEPAN NERCESSIAN,PPS,RJ
SUBTENENTE GONZAGA,PDT,MG
SUELI VIDIGAL,PDT,ES
TAKAYAMA,PSC,PR
TAUMATURGO LIMA,PT,AC
TELMA PINHEIRO,PSDB,MA
TERESA SURITA,PMDB,RR
THIAGO PEIXOTO,PSD,GO
TIRIRICA,PR,SP
TONINHO PINHEIRO,PP,MG
URZENI ROCHA,PSD,RR
VALADARES FILHO,PSB,SE
VALDEMAR COSTA NETO,PR,SP
VALDIR COLATTO,PMDB,SC
VALDIVINO DE OLIVEIRA,PSDB,GO
VALMIR ASSUNÇÃO,PT,BA
VALRY MORAIS,PRP,PA
VALTENIR PEREIRA,PROS,MT
VANDER LOUBET,PT,MS
VANDERLEI MACRIS,PSDB,SP
VANDERLEI SIRAQUE,PT,SP
VAZ DE LIMA,PSDB,SP
VICENTE ARRUDA,PROS,CE
VICENTE CANDIDO,PT,SP
VICENTE SELISTRE,PSB,RS
VICENTINHO,PT,SP
VIEIRA DA CUNHA,PDT,RS
VILALBA,PP,PE
VILMAR ROCHA,PSD,GO
VILSON COVATTI,PP,RS
VINICIUS GURGEL,PR,AP
VITOR PAULO,PRB,RJ
VITOR PENIDO,DEM,MG
WADSON RIBEIRO,PCdoB,MG
WALDENOR PEREIRA,PT,BA
WALDIR MARANHÃO,PP,MA
WALNEY ROCHA,PTB,RJ
WALTER FELDMAN,PSB,SP
WALTER IHOSHI,PSD,SP
WALTER TOSTA,PSD,MG
WANDENKOLK GONÇALVES,PSDB,PA
WASHINGTON REIS,PMDB,RJ
WELITON PRADO,PT,MG
WELLINGTON FAGUNDES,PR,MT
WELLINGTON ROBERTO,PR,PB
WELLINGTON SALGADO,PMDB,MG
WEVERTON ROCHA,PDT,MA
WILLIAM DIB,PSDB,SP
WILSON FILHO,PTB,PB
WLADIMIR COSTA,SD,PA
WOLNEY QUEIROZ,PDT,PE
ZÉ CARLOS DA PESCA,PP,BA
ZÉ GERALDO,PT,PA
ZÉ SILVA,SD,MG
ZÉ VIEIRA,PROS,MA
ZECA DIRCEU,PT,PR
ZENALDO COUTINHO,PSDB,PA
ZEQUINHA MARINHO,PSC,PA
ZEZÉU RIBEIRO,PT,BA
ZOINHO,PR,RJ
ZONTA,PP,SC