"Subquota", "Total expenses", "Average std"
"Flight ticket issue",                                          315203626.049731, 0.223240291395718
"Publicity of parliamentary activity",                          276399266.9,      0.0686090644964018
"Telecommunication",                                            147873853.040009, 0.237513573070402
"Maintenance of office supporting parliamentary activity",      140486442.190006, 0.156387494825049
"Consultancy, research and technical work",                     129988577.52,     0.0212171142940171
"Fuels and lubricants",                                         127601936.940044, 0.80854922440946
"Automotive vehicle renting or watercraft charter",             94768803.0300073, 0.106888768849182
"Automotive vehicle renting or charter",                        64150710.2699999, 0
"Postal services",                                              40476971.4199971, 0.0215195049269717
"Flight tickets",                                               34802045.8299994, 0
"Lodging, except for congressperson from Distrito Federal",     13915299.31,      0.0123060650649486
"Congressperson meal",                                          12583822.1700029, 0.0413945295295451
"Aircraft renting or charter of aircraft",                      11463577.25,      0
"Security service provided by specialized company",             9908693.68,       0
"Locomotion, meal and lodging",                                 5410239.87000002, 0.000534907407407408
"Taxi, toll and parking",                                       2224660.88000019, 0
"Publication subscriptions",                                    1671290.99999998, 0
"Software purchase or renting; Postal services; Subscriptions", 949440.460000004, 0
"Purchase of office supplies",                                  545640.830000001, 0
"Watercraft renting or charter",                                403675.17,        0
"Terrestrial, maritime and fluvial tickets",                    242866.14,        0
"Participation in course, talk or similar event",               192131.05,        0